func_name,endpoint_id,running_duration,energy_consumed,llc_misses,instructions_retired,core_cycles,ref_cycles
__main__.matrix_multiplication,1a302149-7bef-40fe-9dc1-08ae540dc719,7.042372,413996.8004616797,2292455.9181003273,500515707.8637085,304387465.46910095,0.0
__main__.cholesky_decomposition,1a302149-7bef-40fe-9dc1-08ae540dc719,3.274717,8199117.942859106,111013766.80539012,244230456.94886017,2723513065.503971,0.0
__main__.cholesky_decomposition,1a302149-7bef-40fe-9dc1-08ae540dc719,3.221426,8857728.4273213,120025698.20201486,250185932.65412903,2820070948.058178,0.0
chemfunctions._compute_vertical,1a302149-7bef-40fe-9dc1-08ae540dc719,0.154034,347788.32782880904,955543.0232385087,122796094.2898756,74612906.57135987,0.0
chemfunctions._compute_vertical,1a302149-7bef-40fe-9dc1-08ae540dc719,0.154055,348922.4782412945,964542.6520005162,123193770.45216382,74574041.2729367,0.0
chemfunctions._compute_vertical,1a302149-7bef-40fe-9dc1-08ae540dc719,0.154444,372762.5417579152,979214.4580167118,131635049.79457176,79135750.77286266,0.0
chemfunctions._compute_vertical,1a302149-7bef-40fe-9dc1-08ae540dc719,0.154449,373247.8708247465,1067746.4926086685,131765408.7354716,77398640.53431004,0.0
chemfunctions._compute_vertical,1a302149-7bef-40fe-9dc1-08ae540dc719,0.153535,372088.54032060585,1015571.6285895286,131379109.96054608,78186658.38985252,0.0
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,18.16517,8759889.24565814,38279590.66370869,11582835421.625721,8393686511.045584,6595401851.289144
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,18.137118,8797485.108619185,38906620.227380745,11571952315.112928,8269370927.198057,6497737501.482311
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.015432,722618.9695848982,1110376.533672449,277266527.23037875,270378231.42341244,212431828.06901008
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.077262,7144678.585145863,1963725.5190204768,6066528458.536941,4218168399.0755696,3314327584.5461454
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.223723,7093634.515938033,2048298.4265472868,5986817190.277327,4164756862.7703342,3272349180.7781816
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.115675,7144062.590762226,2211914.5561247314,5974397520.936726,4167742840.8180857,3274704768.766343
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.241434,7041351.219344391,2204280.9437118988,5879588364.390142,4088108546.220252,3212134963.04151
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.323528,7212093.81409001,2352015.184135559,5987383027.535177,4162661528.1134715,3270706789.9906306
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.381196,7099748.90771939,2259197.2915404635,5914837951.573885,4123198725.461814,3239691746.9245667
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.220602,7151382.990434048,2075441.0647504725,6031694150.332977,4181715531.6422954,3285673787.710836
__main__.compression,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.213021,6977743.973302483,2189077.761879104,5824738861.208941,4051069235.1795993,3183026723.510091
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.143577,5328355.48975223,36277860.37942433,7679441966.585101,6932526775.8883295,5447356743.529242
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.724171,5162794.720219363,37120384.57044965,6155094754.888117,5902735469.720524,4637874847.7235365
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.015358,111248.28052692793,706169.3728985223,193794785.44531792,182395748.00312993,143311667.1236481
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.738576,5008156.579193941,35744458.68650615,6143112121.581303,5966709566.396892,4688147557.849539
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.764621,4916149.9222931,34840561.110066496,6191628279.995809,5912927426.110475,4645877465.230651
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.747132,4890541.545667696,34620201.89922306,6184750447.351929,5820599385.566789,4573334634.307569
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.698382,4758967.837722962,33502842.69627277,6139733770.451475,5797808447.178279,4555423965.816799
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.778244,5130833.241482565,36760487.66136033,6201908673.595456,6032434768.819531,4739782751.842302
__main__.graph_mst,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.762802,4901590.426979052,34763471.849408925,6156259117.492683,5997175482.952205,4712079880.162156
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.015195,2121.485792811717,16992.879263002247,1526368.9866174269,3075977.5538196117,2416309.066832464
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.017027,6485745.274885766,29324305.655485343,7938733089.697173,6346985008.490787,4987235568.590555
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.093358,6590074.128535391,30694937.458745215,7936423525.074631,6528177740.577234,5129601888.317705
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.078584,6531047.581240839,30071661.59706782,7915718787.764987,6509463281.571624,5114892999.07135
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.133311,6681309.530544685,32134492.70492159,7899556783.741327,6648560343.367206,5224181107.456314
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,3.109597,6641764.630913839,31367038.024915345,7936290063.896084,6598638639.984596,5184966374.318901
__main__.graph_bfs,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.578435,5124898.2738322625,25732364.37096629,5902633946.04151,5377960035.059447,4225547019.8744054
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.01519,4999.816136996573,19106.89386536892,1534636.5364157653,2748138.725665294,2159783.9158090632
