,task_id,endpoint_id,user_id,function_id,task_status,predicted_runtime,predicted_energy,predicted_credits,running_duration,energy_consumed,credits_consumed,llc_misses,instructions_retired,core_cycles,ref_cycles,time_completed,name
83,2266a666-e13a-4c28-aa51-73009fd3bd48,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,5b0dbe02-0dba-45ee-8a65-04c4d9b57f75,finished,5.47541,20.1003,0.00516363,2.39724,8.63003,0.00228018,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,cholesy_decomposition
84,294ade4b-8e99-444a-99b9-d14c89f63dd0,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,c3dd5227-5eea-48e9-bb01-cc34b2c8583c,finished,5.45737,17.7811,0.00543278,5.68948,6.80128,0.00495094,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,cholesy_decomposition
85,41ef32c3-a7bf-496e-a3a4-506a6322a01f,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,a49f78ea-8b9b-4fea-9cd5-9886e3a82ee6,finished,5.45737,17.7811,0.00543278,5.97017,8.5611,0.00538094,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,cholesy_decomposition
86,481559dc-bd6b-4632-a5e8-9a53c2a62ca2,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,1e1b48cf-2a5a-458b-a2e8-f5a6833a2a28,finished,0.649891,1.17169,0.000523619,0.557187,0.0126244,0.00039964,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,molecular_dynamics_ie
87,881dd826-82d8-4bec-8a0f-8e3fe3f6031f,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,a370cd82-9318-48cc-b1a2-ca2aa99d3270,finished,4.5599,36.1478,0.00608077,3.99556,24.2708,0.00536329,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,cholesy_decomposition
88,9302c98e-d8d8-4881-93ce-789cea5137be,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,0779c612-0766-4b18-b594-12eed01f2168,finished,2.08963,14.8624,0.00264871,2.24183,13.4909,0.00302235,1.55506e+17,1.716e+18,6.41176e+18,4.94503e+18,2024-03-21 19:29:39,matrix_multiplication
89,a0f92e2a-f67a-4e18-a684-1b52dcb4f7d1,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,2c3f601f-4005-4040-bc8c-dade3cafb5b5,finished,4.5599,36.1478,0.00608077,4.41335,37.6974,0.00680883,38423500.0,534725000.0,1679650000.0,1309210000.0,2024-03-21 19:29:39,cholesy_decomposition
90,dcb64c6c-4cef-41ce-ab05-879b74fb8e52,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,cae7a391-0de9-4ddf-bf85-33b80ba6e4d9,finished,5.47541,19.9713,0.00514791,2.44789,9.03406,0.00235538,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,cholesy_decomposition
91,ed863c0d-7ca0-4116-b64f-39b6c7fdcf86,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,44761608-e2ea-4a29-8d24-2782b6aa5ae6,finished,2.13467,14.503,0.00265076,2.41602,9.0705,0.00278917,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,matrix_multiplication
92,f26def80-4e04-44d5-82eb-8772e1212946,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,7576aa8f-be90-4a55-938e-4e8d0389ef66,finished,2.13467,15.4117,0.00272434,2.19839,12.5807,0.00290273,9.58334e+16,1.05751e+18,3.95135e+18,3.04746e+18,2024-03-21 19:29:39,matrix_multiplication
93,f3af7678-373e-4b0e-9c2b-a98ceb40e272,1a302149-7bef-40fe-9dc1-08ae540dc719,user_0,c3b3300c-6bd5-4f9b-8e56-f001c84498a1,finished,0.649891,1.17169,0.000523619,0.528167,0.0519725,0.000384042,0.0,0.0,0.0,0.0,2024-03-21 19:29:39,molecular_dynamics_ie
94,f69f76ae-1362-49c1-a097-66cb9294d619,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,4a2fcd7e-9d7e-4f23-9f09-1c2295c3c0e7,finished,4.5599,36.1478,0.00608077,4.49469,25.2717,0.00586999,3516750000000000.0,2.27534e+17,1.90623e+17,1.72285e+17,2024-03-21 19:29:39,cholesy_decomposition
95,3f01da52-294d-43db-9df8-2961eb79a230,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,4a29c933-882b-4dd3-a61a-7a28d8686059,finished,2.13467,15.4117,0.00272434,2.08199,11.904,0.00273452,0.0,0.0,0.0,0.0,2024-03-21 19:29:38,matrix_multiplication
96,922aaecf-d241-41de-9f4d-5ab5ea567dec,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,c3e1a8c4-ca90-4646-af07-5bd1325942d5,finished,5.47541,19.9713,0.00514791,2.84249,9.9088,0.00266416,0.0,0.0,0.0,0.0,2024-03-21 19:29:38,cholesy_decomposition
97,9d9bc742-2893-4d12-b2b5-995084e63c9f,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,93f4496f-d1d7-4481-b21d-12ef8f8acc26,finished,5.47541,20.1003,0.00516363,2.63307,9.55775,0.00251409,0.0,0.0,0.0,0.0,2024-03-21 19:29:38,cholesy_decomposition
98,b8d4d4e1-1405-4253-a8f9-4409a4dad441,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,ec6ba44c-bad5-4fd1-9c5c-d1ed2a0b1ab3,finished,3.73698,7.56256,0.00311851,4.04318,1.69832,0.00310949,0.0,0.0,0.0,0.0,2024-03-21 19:29:38,matrix_multiplication
99,bed925ac-2092-4492-8d97-631979773ee1,1a302149-7bef-40fe-9dc1-08ae540dc719,user_0,de1ecf98-0f06-4cad-98ea-dd4f69ccc1d9,finished,0.649891,1.17169,0.000523619,0.511194,0.0117707,0.000366675,0.0,0.0,0.0,0.0,2024-03-21 19:29:38,molecular_dynamics_ie
100,cabfa64a-d421-4e9a-bcf6-d82b97fa4c65,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,268b4141-e24a-49d8-9ab1-d01858bba784,finished,5.47541,19.9713,0.00514791,2.88575,9.89743,0.00268493,0.0,0.0,0.0,0.0,2024-03-21 19:29:38,cholesy_decomposition
101,37bc11f0-61aa-4471-b53c-3e440cf1f3c8,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,f6d92b8b-f72c-4334-a481-6c36dcf050d0,finished,0.649891,1.17169,0.000523619,0.520978,0.049799,0.000378624,0.0,0.0,0.0,0.0,2024-03-21 19:29:33,molecular_dynamics_ie
102,43014120-21cc-4076-8514-75189becede8,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,55661cc7-bd6f-4e41-8236-fe575858e289,finished,5.47541,19.9713,0.00514791,2.65869,8.9007,0.00244708,0.0,0.0,0.0,0.0,2024-03-21 19:29:33,cholesy_decomposition
103,fec0d6f0-2657-44a3-a916-ef89e7867088,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,861218b3-3581-418b-bcc8-d879e6eb0e4d,finished,2.13467,14.503,0.00265076,2.07612,8.45938,0.00245061,0.0,0.0,0.0,0.0,2024-03-21 19:29:33,matrix_multiplication
104,16fa3602-db31-4a38-8201-5dd86d64aa71,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,8738e98d-b274-4b57-b6c3-2966b10c59fa,finished,2.13467,14.503,0.00265076,1.9873,7.99557,0.00233752,0.0,0.0,0.0,0.0,2024-03-21 19:29:32,matrix_multiplication
105,2c431194-9913-4e0e-b868-6156fce99d57,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,1a9b32e1-66c5-4802-9a22-2a70d2283450,finished,5.47541,19.9713,0.00514791,2.4787,9.07384,0.00237602,0.0,0.0,0.0,0.0,2024-03-21 19:29:32,cholesy_decomposition
106,35169c5e-0112-45be-ab5b-fcca1e7fc0b6,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,bc84eab0-c70f-48e7-ba67-27da7c60b693,finished,0.649891,1.17169,0.000523619,0.546255,0.0107932,0.000391591,0.0,0.0,0.0,0.0,2024-03-21 19:29:32,molecular_dynamics_ie
107,40275bdf-144d-4225-9961-8f3ca7a983c5,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,14a4bc8d-b78a-4afb-9dab-0963fe9b0f66,finished,3.32509,16.1846,0.00400795,2.90187,11.0013,0.00350753,0.0,0.0,0.0,0.0,2024-03-21 19:29:32,graph_pagerank
108,a21f9c3b-222a-4188-983a-169b2eb063ed,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,28a5989c-29b2-49a2-996f-de574c3a9b80,finished,4.47867,23.4143,0.00499353,7.37373,39.7132,0.00956362,9723910.0,767708000.0,437940000.0,408070000.0,2024-03-21 19:29:32,cholesy_decomposition
109,c8066b27-9ba6-4b04-8c07-bf56c8c1a264,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,518b69af-2af7-4461-b810-c586c858076a,finished,2.13467,14.503,0.00265076,2.0923,10.8294,0.00265628,0.0,0.0,0.0,0.0,2024-03-21 19:29:32,matrix_multiplication
110,e4b77dfe-944a-4c0f-a94b-cc278fa0fb8c,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,aac2725a-782e-43a3-a9e8-ff7cfc8b8c45,finished,5.47541,19.9713,0.00514791,2.71613,10.5464,0.0026772,0.0,0.0,0.0,0.0,2024-03-21 19:29:32,cholesy_decomposition
111,fc9b991f-f625-45d4-8ce9-9f6990b1fd31,1a302149-7bef-40fe-9dc1-08ae540dc719,user_2,517d8986-baeb-4e8f-98f4-31d7b6e96198,finished,0.649891,1.17169,0.000523619,0.520897,0.00880694,0.000373219,0.0,0.0,0.0,0.0,2024-03-21 19:29:32,molecular_dynamics_ie
112,ff44ac8f-d91b-49ce-b0ed-57060a53f0df,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,12403428-2968-4f1a-a75c-7f5d408f05b2,finished,2.13467,15.4117,0.00272434,2.17253,11.533,0.00279588,2828830.0,241705000.0,119595000.0,112053000.0,2024-03-21 19:29:32,matrix_multiplication
113,1db82f93-9fba-4582-a252-3ec871d94bc7,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,b124fe7d-2f74-4744-acbf-bff3ac281f4c,finished,3.73698,7.56256,0.00311851,4.3111,2.98613,0.00346881,0.0,0.0,0.0,0.0,2024-03-21 19:29:31,matrix_multiplication
114,3ba429b1-cd7b-401c-8278-5335df99f579,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,e29c536a-d969-4a6e-9bec-b7529922ba11,finished,4.5599,34.2068,0.0059236,4.76503,25.2932,0.00610048,0.0,0.0,0.0,0.0,2024-03-21 19:29:31,cholesy_decomposition
115,5323b06b-954c-4da2-9be0-9f19f9dda37a,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,cfb34dfc-88de-4650-bc88-e4875effeae0,finished,5.47541,19.9713,0.00514791,2.4537,9.18557,0.00237684,0.0,0.0,0.0,0.0,2024-03-21 19:29:31,cholesy_decomposition
116,5f7767f6-e669-4fe6-8058-2e40a2f254f8,6754af96-7afa-4c81-b7ef-cf54587f02fa,user_0,ff433ca9-7c56-4252-b4f8-4fade8d6cd16,finished,5.47541,19.9713,0.00514791,2.8133,10.0958,0.00267201,0.0,0.0,0.0,0.0,2024-03-21 19:29:31,cholesy_decomposition
117,70898c86-cd2d-4e2a-aff8-f3bbd870c964,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,fd8dcf01-d9d7-4eea-b8a6-f4c388c0f08e,finished,4.5599,34.2068,0.0059236,5.40456,24.0559,0.00654417,0.0,0.0,0.0,0.0,2024-03-21 19:29:31,cholesy_decomposition
